dia,habitat,punto,Peucaea mystacallis,Basileuterus rufifrons,Campylorhinchus jocosus,Camptostoma imberbe,Carduelis psaltria,Catherpes mexicanus,Columbina inca,Columbina passerina,Coragyps atratus,Corvus corax,Crotophaga sulcirostris,Cynanthus sordidus,Dendroica coronata,Haemorhous mexicanus,Hirunda rustica,Icterus cucullatus,Icterus pustulatus,Melanerpes hypopolius,Micrathene whitneyi,Mimus polyglottos,Molothrus aeneus,Momotus mexicanus,Myiarchus cinerascens,Passerina caerulea,Passerina versicolor,Aimophila aestivalis,Phainopepla nitens,Pheucticus chrysopeplus,Pheucticus melanocephalus,Pitangus sulphuratus,Polioptila caerulea,Pyrocephalus rubinus,Salpinctes obsoletus,Sayornis nigricans,Psiloscops flammeolus,Thryomanes bewickii,Toxostoma curvirostre,Trogon elegans,Tyrannus melancholicus,Tyrannus verticalis,Tyrannus vociferans,Zenaida asiatica,Zenaida macroura
1,cultivo,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
1,cultivo,2,2,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,5,4,0,0,0,3,4,0
1,cultivo,3,4,0,0,0,9,0,0,0,0,1,0,0,0,6,0,2,0,0,0,3,2,1,0,2,0,1,0,0,0,0,0,3,0,3,0,0,1,1,0,0,0,12,0
1,cultivo,4,2,0,3,0,0,2,0,1,0,0,0,0,1,5,0,1,0,3,0,2,0,0,0,5,3,0,0,0,0,3,2,2,0,0,0,6,0,1,0,2,0,7,0
1,cultivo,5,3,3,2,0,3,0,0,0,0,0,0,0,0,5,3,0,0,0,0,2,0,0,0,3,0,3,0,0,0,3,1,1,0,2,0,2,0,0,0,0,1,4,0
1,mezquitera,1,1,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,8,0,1,1,0,0,0,0
1,mezquitera,2,1,0,2,0,0,0,6,0,0,0,0,0,0,2,0,0,0,4,0,2,0,0,1,3,0,5,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,8,1
1,mezquitera,3,2,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,3,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,8,0
1,mezquitera,4,3,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,6,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,4,1,0,0,0,0,3,0
1,tetechera,1,5,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
